Date and Time,Dispatched,Usable,Temperature(In C),Humidity,Traffic Density
1,400,300,45,70,Low
2,500,400,40,53,Medium
3,300,100,40,88,HIgh
4,200,100,42,50,High
5,1000,900,35,54,Medium
6,600,500,38,65,Low
7,800,700,39,66,Medium
8,900,850,38,60,Low
9,300,250,35,72,Low
10,700,500,40,88,Medium
11,450,300,37,61,Low
12,1500,1300,45,80,High
13,800,750,37,68,Low
14,100,90,37,65,Low
15,600,500,35,78,Low
16,450,400,42,76,HIgh
17,700,550,39,81,Medium
18,550,500,40,83,Low
19,600,500,38,83,Low
20,400,200,40,85,Medium
21,1000,800,42,75,Medium
22,800,750,36,63,HIgh
23,200,150,39,65,Medium
24,500,400,29,45,Low
25,700,500,34,70,HIgh
26,400,350,33,73,Low
27,550,400,34,52,Low
28,300,150,39,55,Medium
29,1200,1100,38,63,Medium
30,800,650,40,65,HIgh
31,400,300,35,72,HIgh
32,900,800,32,56,Medium
33,700,600,34,59,Low
34,600,500,42,62,Low
35,300,150,40,71,Low
36,1000,800,4,54,Medium
37,200,150,35,65,Low
38,800,650,36,69,HIgh
39,450,400,43,71,Medium
40,550,400,40,59,HIgh
41,100,90,38,58,Low
42,1300,1100,39,74,Low
43,1200,1100,36,62,HIgh
44,300,200,35,59,HIgh
45,400,350,34,62,Low
46,700,600,41,56,Medium
47,800,700,40,73,Low
48,900,800,36,66,Medium
49,1000,800,33,65,Low
50,500,400,38,71,Low
